keyword,search_volume,cpc,competition,num_competitors,best_position,word_count,domains
"facebook business",14800,7.05,0.2200,1,15,2,"scorpion.co"
"facebook business account",14800,5.81,0.3800,1,14,3,"scorpion.co"
"facebook for business website",14800,7.05,0.2200,1,23,4,"scorpion.co"
"fb account for business",14800,5.81,0.3800,1,8,4,"scorpion.co"
"funnels marketing",14800,14.45,0.1900,1,56,2,"scorpion.co"
"google lsa",14800,2.89,0.2800,3,39,2,"1seo.com|relentless-digital.com|scorpion.co"
"how can i create a business facebook page",14800,6.17,0.4600,1,13,8,"scorpion.co"
"how create fb business page",14800,6.17,0.4600,1,7,5,"scorpion.co"
"how do i create a business facebook page",14800,6.17,0.4600,1,13,8,"scorpion.co"
"how do i create a business page on facebook",14800,6.17,0.4600,1,6,9,"scorpion.co"
"how do i create a facebook business page",14800,6.17,0.4600,1,11,8,"scorpion.co"
"how do i create a fb business page",14800,6.17,0.4600,1,7,8,"scorpion.co"
"how do you create a business page in facebook",14800,6.17,0.4600,1,12,9,"scorpion.co"
"how do you create a facebook business page",14800,6.17,0.4600,1,17,8,"scorpion.co"
"how do you make a facebook page for a business",14800,6.17,0.4600,1,12,10,"scorpion.co"
"how to create a business page on facebook",14800,6.17,0.4600,1,15,8,"scorpion.co"
"how to create a company facebook page",14800,6.17,0.4600,1,29,7,"scorpion.co"
"how to create a facebook business page",14800,6.17,0.4600,1,11,7,"scorpion.co"
"how to create a facebook for business page",14800,6.17,0.4600,1,9,8,"scorpion.co"
"how to create a fb business page",14800,6.17,0.4600,1,13,7,"scorpion.co"
"how to create a page on facebook for business",14800,6.17,0.4600,1,12,9,"scorpion.co"
"how to create business fb page",14800,6.17,0.4600,1,20,6,"scorpion.co"
"how to create facebook business page",14800,6.17,0.4600,1,12,6,"scorpion.co"
"how to make company facebook page",14800,6.17,0.4600,1,22,6,"scorpion.co"
"how to make facebook business page",14800,6.17,0.4600,1,12,6,"scorpion.co"
"how to make facebook page a business",14800,6.17,0.4600,1,12,7,"scorpion.co"
"how to make fb business page",14800,6.17,0.4600,1,7,6,"scorpion.co"
"how to make fb page for business",14800,6.17,0.4600,1,10,7,"scorpion.co"
"lsa google",14800,2.89,0.2800,3,22,2,"1seo.com|relentless-digital.com|scorpion.co"
"marketing funnel",14800,14.45,0.1900,1,76,2,"scorpion.co"
"no advertising on youtube",14800,1.16,0.2000,1,92,4,"scorpion.co"
"services digital marketing",14800,18.27,0.0800,2,30,3,"bird.marketing|scorpion.co"
"social media agency services",14800,22.25,0.0400,1,80,4,"scorpion.co"
"codes of color in html",14800,0.00,0.0000,1,71,5,"hookagency.com"
"color coded html",14800,0.00,0.0000,1,81,3,"hookagency.com"
"color with code in html",14800,0.00,0.0000,1,68,5,"hookagency.com"
"how much do hvac make",14800,18.05,0.0200,1,45,5,"hookagency.com"
"how much do hvac technicians make",14800,18.05,0.0200,1,52,6,"hookagency.com"
"how much do hvac techs make",14800,18.05,0.0200,1,45,6,"hookagency.com"
"how much does hvac make",14800,18.05,0.0200,1,47,5,"hookagency.com"
"how much does hvac tech make",14800,18.05,0.0200,1,38,6,"hookagency.com"
"html coding for colors",14800,0.00,0.0000,1,74,4,"hookagency.com"
"html web color code",14800,0.00,0.0000,1,51,4,"hookagency.com"
"ipsum lorem meaning",14800,40.76,0.0000,1,65,3,"hookagency.com"
"paint leads",14800,2.86,0.1700,1,5,2,"hookagency.com"
"web color codes html",14800,0.00,0.0000,1,48,4,"hookagency.com"
"website color codes html",14800,0.00,0.0000,1,12,4,"hookagency.com"
"fashion branding company",14800,0.22,0.9200,1,30,3,"bird.marketing"
"search engine optimization sites",14800,22.51,0.2200,1,83,4,"helium-seo.com"
"on deck log in",12100,46.52,0.1000,1,100,4,"kickcharge.com"
"analysis competition",12100,25.56,0.2000,1,69,2,"scorpion.co"
"analytical competitor",12100,25.56,0.2000,1,36,2,"scorpion.co"
"analyze competition",12100,25.56,0.2000,1,60,2,"scorpion.co"
"b plan examples",12100,5.69,0.4300,1,8,3,"scorpion.co"
"business plan example",12100,5.93,0.4100,1,49,3,"scorpion.co"
"business plan examples",12100,5.93,0.4100,1,47,3,"scorpion.co"
"business plans examples",12100,5.93,0.4100,1,10,3,"scorpion.co"
"digital marketing company",12100,20.84,0.1600,1,13,3,"scorpion.co"
"digital marketing firm",12100,20.84,0.1600,2,31,3,"hookagency.com|scorpion.co"
"digital marketing firms",12100,20.84,0.1600,1,80,3,"scorpion.co"
"digital marketing marketing company",12100,20.84,0.1600,2,21,4,"bird.marketing|scorpion.co"
"sample business plans examples",12100,5.93,0.4100,1,30,4,"scorpion.co"
"sample of a business plan",12100,5.93,0.4100,1,62,5,"scorpion.co"
"samples for business plan",12100,5.93,0.4100,1,61,4,"scorpion.co"
"scorpion show",12100,1.32,0.0100,1,59,2,"scorpion.co"
"biz name ideas",12100,2.57,0.5000,1,85,3,"hookagency.com"
"biz names ideas",12100,2.57,0.5000,1,52,3,"hookagency.com"
"color red hexadecimal code",12100,0.00,0.0000,1,94,4,"hookagency.com"
"font lobster",12100,4.72,0.0000,1,14,2,"hookagency.com"
"ideas for companies names",12100,2.57,0.5000,1,58,4,"hookagency.com"
"lobster font",12100,4.72,0.0000,1,15,2,"hookagency.com"
"lobster fonts",12100,4.72,0.0000,1,11,2,"hookagency.com"
"name for firms",12100,4.09,0.4000,1,69,3,"hookagency.com"
"web color white",12100,0.00,0.0000,1,88,3,"hookagency.com"
"white web color",12100,0.00,0.0000,1,85,3,"hookagency.com"
"white web color code",12100,0.00,0.0000,1,84,4,"hookagency.com"
"search engine optimisation consultant",12100,42.32,0.0900,1,53,4,"helium-seo.com"
"search engine optimization consultant",12100,42.32,0.0900,1,52,4,"helium-seo.com"
"search optimization consultant",12100,42.32,0.0900,1,49,3,"helium-seo.com"
"http status codes",12100,0.15,0.0200,1,76,3,"valveandmeter.com"
"pools kick",9900,0.00,0.0000,1,78,2,"kickcharge.com"
"truck vehicle wraps",9900,3.47,0.9100,1,3,3,"kickcharge.com"
"truck wraps",9900,3.47,0.9100,1,13,2,"kickcharge.com"
"build business facebook page",9900,5.57,0.4500,1,14,4,"scorpion.co"
